Data_Hora,IdTweet,Tweet,Candidato,Tweet_limpo
2022-07-30 23:17:46+00:00,1553520255238119424,"@LulaOficial @dilmabr Alguém de vcs checa isso
@AfpChecamos @agencialupa @aosfatos .",Lula,  alguém de vcs checa isso   .
2022-07-30 23:17:46+00:00,1553520253535227906,Presidente: Lula; Senador:?; Deputado Federal: Boullos; Governador: Haddad; Deputado Estadual: Suplicy. Boa ou não? https://t.co/t6pU735MuI,Lula,presidente: lula; senador:?; deputado federal: boullos; governador: haddad; deputado estadual: suplicy. boa ou não? 
2022-07-30 23:17:45+00:00,1553520252608192512,"@gleisi @LulaOficial @CamiloSantanaCE @elmanofreitaspt Trocaram de fotógrafo, ou aprenderam a montar melhor a foto",Lula,"    trocaram de fotógrafo, ou aprenderam a montar melhor a foto"
2022-07-30 23:17:45+00:00,1553520251211505664,@MARCOSDANI1 @LulaOficial NÃO...BEM REAL...,Lula,  não...bem real...
2022-07-30 23:17:45+00:00,1553520250263687168,@WesleyAHS11s @LulaOficial #BolsonaroReeleitoEm2022,Lula,  
2022-07-30 23:17:45+00:00,1553520249860915200,@ptbrasil @LulaOficial https://t.co/BV7ny6feEd,Lula,  
2022-07-30 23:17:44+00:00,1553520245842796544,@UOLNoticias @LulaOficial Resumindo: vamos dividir os ministros entre os parça,Lula,  resumindo: vamos dividir os ministros entre os parça
2022-07-30 23:17:44+00:00,1553520245498847232,"@LulaOficial @dilmabr FDP teve 16 anos, agora vem encher a boca de merda. 
Vagabundo salafrário.
#BolsonaroReeleito2022",Lula,"  fdp teve 16 anos, agora vem encher a boca de merda. vagabundo salafrário."
2022-07-30 23:17:44+00:00,1553520245335367683,@Henriy123 @LulaOficial Vai trabalhar vagabundoooooo’,Lula,  vai trabalhar vagabundoooooo’
2022-07-30 23:17:43+00:00,1553520243972218881,@LulaOficial @elmanofreitaspt Montagem derrubada seu ladrão,Lula,  montagem derrubada seu ladrão
2022-07-30 23:17:42+00:00,1553520238389600265,@ptbrasil @LulaOficial Só não roubar que todos estudam.,Lula,  só não roubar que todos estudam.
